site_name,domain,test_url,direct_stream,browser_capture,clip_window_playback,clip_download_test,host_stream_ready,download_fallback,notes
"GayzerHD","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GVDBLOG","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Gay Top","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayTry","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayPorn.video","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"IceGayPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"SissyFlix","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GaysTubes.tv","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"ABGay","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"MyGayTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayJuice","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayTube.site","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayCreampie","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Juicy Baby Cucumber","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayKinkyPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayBoysTube","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayStash","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayVidster","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayTeam","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Gayxps","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"Gay4","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"GayVidsTv","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
"UrGayPorn","","","Not tested","Not tested","Not tested","Not tested","Not tested","Not tested",""
